,Language,Name,Symbol
0,Standard_German,Voiced bilabial plosive,b
1,Standard_German,Voiceless palatal plosive,c
2,Standard_German,Voiceless palatal fricative,ç
3,Standard_German,Voiced alveolar plosive,d
4,Standard_German,Voiceless labiodental fricative,f
5,Standard_German,Voiced velar plosive,ɡ
6,Standard_German,Voiceless glottal fricative,h
7,Standard_German,Voiced palatal approximant,j
8,Standard_German,Voiceless velar plosive,k
9,Standard_German,Voiced alveolar lateral approximant,l
10,Standard_German,Voiced bilabial nasal,m
11,Standard_German,Voiced alveolar nasal,n
12,Standard_German,Voiced velar nasal,ŋ
13,Standard_German,Voiceless bilabial plosive,p
14,Standard_German,Voiceless labiodental affricate,pf
15,Standard_German,Voiced uvular fricative,ʁ
16,Standard_German,Voiced alveolar trill,r
17,Standard_German,Voiceless alveolar fricative,s
18,Standard_German,Voiceless postalveolar fricative,ʃ
19,Standard_German,Voiceless alveolar plosive,t
20,Standard_German,Voiceless alveolar affricate,ts
21,Standard_German,Voiceless postalveolar affricate,tʃ
22,Standard_German,Voiced labiodental fricative,v
23,Standard_German,Voiceless velar fricative,x
24,Standard_German,Voiced alveolar fricative,z
25,Standard_German,Voiceless alveolar fricative,s
26,Standard_German,Glottal stop,ʔ
27,Standard_German,Voiced postalveolar affricate,dʒ
28,Standard_German,Voiced dental fricative,ð
29,Standard_German,Voiced alveolar approximant,ɹ
30,Standard_German,Voiceless dental fricative,θ
31,Standard_German,Voiced labial–velar approximant,w
32,Standard_German,Voiced postalveolar fricative,ʒ
33,Adyghe,Voiced bilabial plosive,b
34,Adyghe,Voiceless alveolo-palatal fricative,ɕ
35,Adyghe,Voiced alveolar plosive,d
36,Adyghe,Voiced alveolar affricate,dz
37,Adyghe,Voiced postalveolar affricate,dʒ
38,Adyghe,Voiceless labiodental fricative,f
39,Adyghe,Voiced velar fricative,ɣ
40,Adyghe,Voiceless pharyngeal fricative,ħ
41,Adyghe,Voiced palatal approximant,j
42,Adyghe,Voiced alveolar lateral fricative,l
43,Adyghe,Voiceless alveolar lateral fricative,ɬ
44,Adyghe,Voiced bilabial nasal,m
45,Adyghe,Voiced alveolar nasal,n
46,Adyghe,Voiceless bilabial plosive,p
47,Adyghe,Voiceless uvular plosive,q
48,Adyghe,Voiced alveolar trill,r
49,Adyghe,Voiced uvular fricative,ʁ
50,Adyghe,Voiceless alveolar fricative,s
51,Adyghe,Voiceless postalveolar fricative,ʃ
52,Adyghe,Voiceless retroflex fricative,ʂ
53,Adyghe,Voiceless alveolar plosive,t
54,Adyghe,Voiceless alveolar affricate,ts
55,Adyghe,Voiceless postalveolar affricate,tʃ
56,Adyghe,Voiceless retroflex affricate,tʂ
57,Adyghe,Voiced labial–velar approximant,w
58,Adyghe,Voiceless velar fricative,x
59,Adyghe,Voiceless uvular fricative,χ
60,Adyghe,Voiced alveolar fricative,z
61,Adyghe,Voiced alveolo-palatal fricative,ʑ
62,Adyghe,Voiced postalveolar fricative,ʒ
63,Adyghe,Voiced retroflex fricative,ʐ
64,Adyghe,Glottal stop,ʔ
65,Adyghe,Voiceless velar plosive,k
66,Adyghe,Voiced labiodental fricative,v
67,Afrikaans,Voiced bilabial plosive,b
68,Afrikaans,Voiced alveolar plosive,d
69,Afrikaans,Voiceless labiodental fricative,f
70,Afrikaans,Voiced glottal fricative,ɦ
71,Afrikaans,Voiced palatal approximant,j
72,Afrikaans,Voiceless velar plosive,k
73,Afrikaans,Voiced alveolar lateral approximant,l
74,Afrikaans,Voiced bilabial nasal,m
75,Afrikaans,Voiced alveolar nasal,n
76,Afrikaans,Voiced velar nasal,ŋ
77,Afrikaans,Voiceless bilabial plosive,p
78,Afrikaans,Voiced alveolar trill,r
79,Afrikaans,Voiceless alveolar fricative,s
80,Afrikaans,Voiceless postalveolar fricative,ʃ
81,Afrikaans,Voiceless alveolar plosive,t
82,Afrikaans,Voiceless postalveolar affricate,tʃ
83,Afrikaans,Voiceless uvular fricative,χ
84,Afrikaans,Voiced labiodental fricative,v
85,Afrikaans,Voiced postalveolar fricative,ʒ
86,Afrikaans,Glottal stop,ʔ
87,Afrikaans,Voiced postalveolar affricate,dʒ
88,Afrikaans,Voiced velar plosive,ɡ
89,Afrikaans,Voiced labial–velar approximant,w
90,Afrikaans,Voiced alveolar fricative,z
91,Albanian,Voiced bilabial plosive,b
92,Albanian,Voiceless palatal affricate,c
93,Albanian,Voiced alveolar plosive,d
94,Albanian,Voiced alveolar affricate,dz
95,Albanian,Voiced postalveolar affricate,dʒ
96,Albanian,Voiced dental fricative,ð
97,Albanian,Voiceless labiodental fricative,f
98,Albanian,Voiced velar plosive,ɡ
99,Albanian,Voiceless glottal fricative,h
100,Albanian,Voiced palatal approximant,j
101,Albanian,Voiced palatal affricate,ɟ
102,Albanian,Voiceless velar plosive,k
103,Albanian,Voiced alveolar lateral approximant,l
104,Albanian,Voiced bilabial nasal,m
105,Albanian,Voiced alveolar nasal,n
106,Albanian,Voiced palatal nasal,ɲ
107,Albanian,Voiced velar nasal,ŋ
108,Albanian,Voiceless bilabial plosive,p
109,Albanian,Voiced alveolar trill,r
110,Albanian,Voiced retroflex flap,ɾ
111,Albanian,Voiceless alveolar fricative,s
112,Albanian,Voiceless postalveolar fricative,ʃ
113,Albanian,Voiceless alveolar plosive,t
114,Albanian,Voiceless alveolar affricate,ts
115,Albanian,Voiceless postalveolar affricate,tʃ
116,Albanian,Voiced labiodental fricative,v
117,Albanian,Voiced alveolar fricative,z
118,Albanian,Voiced postalveolar fricative,ʒ
119,Albanian,Voiceless dental fricative,θ
120,Arabic,Voiced palatal approximant,j
121,Arabic,Voiced labial–velar approximant,w
122,Arabic,Voiced bilabial plosive,b
123,Arabic,Voiced alveolar plosive,d
124,Arabic,Voiced alveolar plosive,d
125,Arabic,Voiced postalveolar affricate,dʒ
126,Arabic,Voiced dental fricative,ð
127,Arabic,Voiced dental fricative,ð
128,Arabic,Voiceless labiodental fricative,f
129,Arabic,Voiceless glottal fricative,h
130,Arabic,Voiceless pharyngeal fricative,ħ
131,Arabic,Voiced palatal approximant,j
132,Arabic,Voiceless velar plosive,k
133,Arabic,Voiced alveolar lateral approximant,l
134,Arabic,Voiced bilabial nasal,m
135,Arabic,Voiced alveolar nasal,n
136,Arabic,Voiceless uvular plosive,q
137,Arabic,Voiced alveolar trill,r
138,Arabic,Voiceless alveolar fricative,s
139,Arabic,Voiceless alveolar fricative,s
140,Arabic,Voiceless postalveolar fricative,ʃ
141,Arabic,Voiceless alveolar plosive,t
142,Arabic,Voiceless alveolar plosive,t
143,Arabic,Voiceless dental fricative,θ
144,Arabic,Voiced labial–velar approximant,w
145,Arabic,Voiceless velar fricative,x
146,Arabic,Voiceless uvular fricative,χ
147,Arabic,Voiced velar fricative,ɣ
148,Arabic,Voiced uvular fricative,ʁ
149,Arabic,Voiced alveolar fricative,z
150,Arabic,Glottal stop,ʔ
151,Arabic,Glottal stop,glottal stop
152,Arabic,Voiced pharyngeal fricative,ʕ
153,Arabic,Voiced pharyngeal fricative,voiced pharyngeal fricative
154,Arabic,Voiceless dental fricative,θ
155,Arabic,Voiceless uvular plosive,q
156,Arabic,Voiced alveolar trill,r
157,Arabic,Voiceless uvular plosive,q
158,Arabic,Voiced alveolar trill,r
159,Arabic,Voiced velar plosive,ɡ
160,Arabic,Voiced postalveolar fricative,ʒ
161,Arabic,Voiceless uvular plosive,q
162,Arabic,Voiced alveolar trill,r
163,Arabic,Voiceless pharyngeal fricative,ħ
164,Arabic,Voiced pharyngeal fricative,ʕ
165,Arabic,Voiceless uvular plosive,q
166,Arabic,Voiced alveolar trill,r
167,Arabic,Voiceless pharyngeal fricative,ħ
168,Arabic,Voiced pharyngeal fricative,ʕ
169,Arabic,Voiceless uvular plosive,q
170,Arabic,Voiced alveolar trill,r
171,Arabic,Voiceless pharyngeal fricative,ħ
172,Arabic,Voiced pharyngeal fricative,ʕ
173,Arabic,Voiceless uvular plosive,q
174,Arabic,Voiced alveolar trill,r
175,Arabic,Voiceless pharyngeal fricative,ħ
176,Arabic,Voiced pharyngeal fricative,ʕ
177,Egyptian_Arabic,Glottal stop,ʔ
178,Egyptian_Arabic,Voiced pharyngeal fricative,ʕ
179,Egyptian_Arabic,Voiced bilabial plosive,b
180,Egyptian_Arabic,Voiced alveolar plosive,d
181,Egyptian_Arabic,Voiced alveolar plosive,d
182,Egyptian_Arabic,Voiceless labiodental fricative,f
183,Egyptian_Arabic,Voiced velar plosive,ɡ
184,Egyptian_Arabic,Voiceless glottal fricative,h
185,Egyptian_Arabic,Voiceless pharyngeal fricative,ħ
186,Egyptian_Arabic,Voiced palatal approximant,j
187,Egyptian_Arabic,Voiceless velar plosive,k
188,Egyptian_Arabic,Voiced alveolar lateral approximant,l
189,Egyptian_Arabic,Voiced bilabial nasal,m
190,Egyptian_Arabic,Voiced alveolar nasal,n
191,Egyptian_Arabic,Voiceless uvular plosive,q
192,Egyptian_Arabic,Voiced dental and alveolar taps and flaps,ɾ
193,Egyptian_Arabic,Voiceless alveolar fricative,s
194,Egyptian_Arabic,Voiceless alveolar fricative,s
195,Egyptian_Arabic,Voiceless postalveolar fricative,ʃ
196,Egyptian_Arabic,Voiceless alveolar plosive,t
197,Egyptian_Arabic,Voiceless alveolar plosive,t
198,Egyptian_Arabic,Voiced labial–velar approximant,w
199,Egyptian_Arabic,Voiceless velar fricative,x
200,Egyptian_Arabic,Voiced velar fricative,ɣ
201,Egyptian_Arabic,Voiced alveolar fricative,z
202,Egyptian_Arabic,Voiced alveolar fricative,z
203,Egyptian_Arabic,Voiceless bilabial plosive,p
204,Egyptian_Arabic,Voiced labiodental fricative,v
205,Egyptian_Arabic,Voiced postalveolar fricative,ʒ
206,Hejazi_Arabic,Glottal stop,ʔ
207,Hejazi_Arabic,Voiced pharyngeal fricative,ʕ
208,Hejazi_Arabic,Voiced bilabial plosive,b
209,Hejazi_Arabic,Voiced alveolar plosive,d
210,Hejazi_Arabic,Voiced alveolar plosive,d
211,Hejazi_Arabic,Voiced postalveolar affricate,dʒ
212,Hejazi_Arabic,Voiced dental fricative,ð
213,Hejazi_Arabic,Voiceless labiodental fricative,f
214,Hejazi_Arabic,Voiced velar plosive,ɡ
215,Hejazi_Arabic,Voiceless uvular plosive,q
216,Hejazi_Arabic,Voiceless glottal fricative,h
217,Hejazi_Arabic,Voiceless pharyngeal fricative,ħ
218,Hejazi_Arabic,Voiced palatal approximant,j
219,Hejazi_Arabic,Voiceless velar plosive,k
220,Hejazi_Arabic,Voiced alveolar lateral approximant,l
221,Hejazi_Arabic,Voiced bilabial nasal,m
222,Hejazi_Arabic,Voiced alveolar nasal,n
223,Hejazi_Arabic,Voiceless dental fricative,θ
224,Hejazi_Arabic,Voiced alveolar trill,r
225,Hejazi_Arabic,Voiceless alveolar fricative,s
226,Hejazi_Arabic,Voiceless alveolar fricative,s
227,Hejazi_Arabic,Voiceless postalveolar fricative,ʃ
228,Hejazi_Arabic,Voiceless alveolar plosive,t
229,Hejazi_Arabic,Voiceless alveolar plosive,t
230,Hejazi_Arabic,Voiced labial–velar approximant,w
231,Hejazi_Arabic,Voiceless velar fricative,x
232,Hejazi_Arabic,Voiced velar fricative,ɣ
233,Hejazi_Arabic,Voiced alveolar fricative,z
234,Hejazi_Arabic,Voiced alveolar fricative,z
235,Hejazi_Arabic,Voiced dental fricative,ð
236,Hejazi_Arabic,Voiceless bilabial plosive,p
237,Hejazi_Arabic,Voiced labiodental fricative,v
238,Lebanese_Arabic,Voiced bilabial plosive,b
239,Lebanese_Arabic,Voiced alveolar plosive,d
240,Lebanese_Arabic,Voiced alveolar plosive,d
241,Lebanese_Arabic,Voiceless labiodental fricative,f
242,Lebanese_Arabic,Voiceless glottal fricative,h
243,Lebanese_Arabic,Voiceless pharyngeal fricative,ħ
244,Lebanese_Arabic,Voiceless velar plosive,k
245,Lebanese_Arabic,Voiced alveolar lateral approximant,l
246,Lebanese_Arabic,Voiced bilabial nasal,m
247,Lebanese_Arabic,Voiced alveolar nasal,n
248,Lebanese_Arabic,Voiced alveolar trill,r
249,Lebanese_Arabic,Voiceless alveolar fricative,s
250,Lebanese_Arabic,Voiceless alveolar fricative,s
251,Lebanese_Arabic,Voiceless postalveolar fricative,ʃ
252,Lebanese_Arabic,Voiceless alveolar plosive,t
253,Lebanese_Arabic,Voiceless alveolar plosive,t
254,Lebanese_Arabic,Voiceless velar fricative,x
255,Lebanese_Arabic,Voiced velar fricative,ɣ
256,Lebanese_Arabic,Voiced alveolar fricative,z
257,Lebanese_Arabic,Voiced alveolar fricative,z
258,Lebanese_Arabic,Voiced postalveolar fricative,ʒ
259,Lebanese_Arabic,Glottal stop,ʔ
260,Lebanese_Arabic,Glottal stop,glottal stop
261,Lebanese_Arabic,Voiced pharyngeal fricative,ʕ
262,Lebanese_Arabic,Voiced pharyngeal fricative,voiced pharyngeal fricative
263,Lebanese_Arabic,Voiced palatal approximant,j
264,Lebanese_Arabic,Voiced labial–velar approximant,w
265,Lebanese_Arabic,Voiceless dental fricative,θ
266,Lebanese_Arabic,Voiced dental fricative,ð
267,Lebanese_Arabic,Voiced dental fricative,ð
268,Lebanese_Arabic,Voiceless uvular plosive,q
269,Lebanese_Arabic,Voiced velar plosive,g
270,Lebanese_Arabic,Voiceless bilabial plosive,p
271,Lebanese_Arabic,Voiced labiodental fricative,v
272,Tunisian_Arabic,Voiced bilabial plosive,b
273,Tunisian_Arabic,Voiced alveolar plosive,d
274,Tunisian_Arabic,Voiced dental fricative,ð
275,Tunisian_Arabic,Voiced alveolar affricate,dz
276,Tunisian_Arabic,Voiced postalveolar fricative,ʒ
277,Tunisian_Arabic,Voiceless labiodental fricative,f
278,Tunisian_Arabic,Voiced velar plosive,ɡ
279,Tunisian_Arabic,Voiceless glottal fricative,h
280,Tunisian_Arabic,Voiceless pharyngeal fricative,ħ
281,Tunisian_Arabic,Voiced palatal approximant,j
282,Tunisian_Arabic,Voiceless velar plosive,k
283,Tunisian_Arabic,Voiced alveolar lateral approximant,l
284,Tunisian_Arabic,Voiced bilabial nasal,m
285,Tunisian_Arabic,Voiced alveolar nasal,n
286,Tunisian_Arabic,Voiceless dental fricative,θ
287,Tunisian_Arabic,Voiceless uvular plosive,q
288,Tunisian_Arabic,Voiceless bilabial plosive,p
289,Tunisian_Arabic,Voiced alveolar trill,r
290,Tunisian_Arabic,Voiced alveolar trill,Trilled R
291,Tunisian_Arabic,Voiceless alveolar fricative,s
292,Tunisian_Arabic,Voiceless postalveolar fricative,ʃ
293,Tunisian_Arabic,Voiceless alveolar plosive,t
294,Tunisian_Arabic,Voiceless postalveolar affricate,tʃ
295,Tunisian_Arabic,Voiced labiodental fricative,v
296,Tunisian_Arabic,Voiced labial–velar approximant,w
297,Tunisian_Arabic,Voiceless velar fricative,x
298,Tunisian_Arabic,Voiced uvular fricative,ʁ
299,Tunisian_Arabic,Voiced alveolar fricative,z
300,Tunisian_Arabic,Voiced pharyngeal fricative,ʕ
